logLik,epsilon_neg_L1,epsilon_pos_L1,lambda,mu,diffusion_coef,tau_s,tau_l,epsilon_neg_accept,epsilon_pos_accept,lambda_accept,mu_accept,diffusion_coef_accept,tau_s_accept,tau_l_accept,change_k_accept,switch_anc_accept,add_anc_accept,make_founder_accept,make_orphan_accept
-277.057,0.280321,0,0.5,0.05,8.83148,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999527,-nan,-nan,-nan,0.494073,0,-nan,-nan
-280.842,0.280321,0,0.5,0.05,7.33183,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994109,-nan,-nan,-nan,0.483465,0,-nan,-nan
-282.165,0.43184,0,0.5,0.05,7.28551,1,2.06115e-09,-nan,-nan,-nan,-nan,0.979256,-nan,-nan,-nan,0.501543,0,-nan,-nan
-282.068,0.828419,0,0.5,0.05,9.8916,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.510583,0,-nan,-nan
-281.27,0.828419,0,0.5,0.05,8.9938,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.515974,0,-nan,-nan
-283.357,0.43184,0,0.5,0.05,7.10938,1,2.06115e-09,-nan,-nan,-nan,-nan,0.991844,-nan,-nan,-nan,0.49821,0,-nan,-nan
-283.338,0.828419,0,0.5,0.05,6.7172,1,2.06115e-09,-nan,-nan,-nan,-nan,0.991549,-nan,-nan,-nan,0.493732,0,-nan,-nan
-281.425,0.43184,0,0.5,0.05,7.55167,1,2.06115e-09,-nan,-nan,-nan,-nan,0.991561,-nan,-nan,-nan,0.525342,0,-nan,-nan
-282.859,0.43184,0,0.5,0.05,6.93561,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998611,-nan,-nan,-nan,0.492283,0,-nan,-nan
-281.55,0.280321,0,0.5,0.05,12.4301,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99707,-nan,-nan,-nan,0.504166,0,-nan,-nan
-284.34,0.828419,0,0.5,0.05,6.52515,1,2.06115e-09,-nan,-nan,-nan,-nan,0.991549,-nan,-nan,-nan,0.493807,0,-nan,-nan
-293.401,0.252601,0,0.5,0.05,11.8153,1,2.06115e-09,-nan,-nan,-nan,-nan,0.983073,-nan,-nan,-nan,0.50403,-nan,-nan,-nan
-280.315,0.280321,0,0.5,0.05,12.4299,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999539,-nan,-nan,-nan,0.4914,0,-nan,-nan
-294.456,0.0107627,0,0.5,0.05,6.64826,1,2.06115e-09,-nan,-nan,-nan,-nan,0.996156,-nan,-nan,-nan,0.506252,-nan,-nan,-nan
-281.401,0.828419,0,0.5,0.05,8.95635,1,2.06115e-09,-nan,-nan,-nan,-nan,0.991333,-nan,-nan,-nan,0.505604,0,-nan,-nan
