logLik,epsilon_neg_L1,epsilon_pos_L1,lambda,mu,diffusion_coef,tau_s,tau_l,epsilon_neg_accept,epsilon_pos_accept,lambda_accept,mu_accept,diffusion_coef_accept,tau_s_accept,tau_l_accept,change_k_accept,switch_anc_accept,add_anc_accept,make_founder_accept,make_orphan_accept
-759.826,0.930763,0,0.5,0.05,18.7062,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997147,-nan,-nan,-nan,0.535052,0,0,-nan
-761.414,0.43184,0,0.5,0.05,16.3362,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994872,-nan,-nan,-nan,0.517557,0.00172117,0.000223364,-nan
-765.304,0.533369,0,0.5,0.05,11.4621,1,2.06115e-09,-nan,-nan,-nan,-nan,0.992344,-nan,-nan,-nan,0.51472,0.00536673,0.000640615,-nan
-761.319,0.0107627,0,0.5,0.05,14.463,1,2.06115e-09,-nan,-nan,-nan,-nan,0.984036,-nan,-nan,-nan,0.514011,0.00567721,0.00248269,-nan
-772.835,0.930763,0,0.5,0.05,19.2205,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997821,-nan,-nan,-nan,0.520096,0,0,-nan
-755.573,0.43184,0,0.5,0.05,17.0758,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998498,-nan,-nan,-nan,0.520701,0,0,-nan
-758.024,0.280321,0,0.5,0.05,15.4714,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995481,-nan,-nan,-nan,0.516321,0.0033389,0.000894454,-nan
-757.655,0.280321,0,0.5,0.05,15.0744,1,2.06115e-09,-nan,-nan,-nan,-nan,0.990291,-nan,-nan,-nan,0.512422,0,0,-nan
-764.164,0.43184,0,0.5,0.05,16.1475,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995108,-nan,-nan,-nan,0.518873,0.00409836,0.00102881,-nan
-760.757,0.0107627,0,0.5,0.05,16.1679,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995779,-nan,-nan,-nan,0.511799,0.00410678,0.000520021,-nan
-757.055,0.0107627,0,0.5,0.05,15.1372,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997135,-nan,-nan,-nan,0.525756,0.0108696,0.00297619,-nan
-756.043,0.0107627,0,0.5,0.05,15.75,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.52589,0,0,-nan
-769.551,0.828419,0,0.5,0.05,9.62149,1,2.06115e-09,-nan,-nan,-nan,-nan,0.981288,-nan,-nan,-nan,0.509859,0.00960334,0.00364155,-nan
-759.96,0.280321,0,0.5,0.05,13.0271,1,2.06115e-09,-nan,-nan,-nan,-nan,0.991088,-nan,-nan,-nan,0.51738,0.00203252,0.000527426,-nan
-764.509,0.0107627,0,0.5,0.05,14.9635,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995362,-nan,-nan,-nan,0.514915,0,0.00108578,-nan
-757.382,0.43184,0,0.5,0.05,18.862,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99753,-nan,-nan,-nan,0.509028,0,0,-nan
-763.215,0.930763,0,0.5,0.05,17.199,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997292,-nan,-nan,-nan,0.518407,0.00294406,0.00100528,-nan
-762.693,0.0107627,0,0.5,0.05,15.7088,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998093,-nan,-nan,-nan,0.510746,0.00364964,0,-nan
-756.303,0.43184,0,0.5,0.05,18.1355,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.504663,0,0,-nan
-763.845,0.280321,0,0.5,0.05,12.4084,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99115,-nan,-nan,-nan,0.523439,0.00426439,0.00103146,-nan
-766.947,0.828419,0,0.5,0.05,12.7778,1,2.06115e-09,-nan,-nan,-nan,-nan,0.986355,-nan,-nan,-nan,0.510654,0.00628931,0.00280112,-nan
-758.02,0.0107627,0,0.5,0.05,15.999,1,2.06115e-09,-nan,-nan,-nan,-nan,0.996413,-nan,-nan,-nan,0.51465,0,0,-nan
-752.78,0.930763,0,0.5,0.05,18.7569,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.518766,0.00191571,0,-nan
-760.17,0.0107627,0,0.5,0.05,14.861,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997093,-nan,-nan,-nan,0.514812,0.00591716,0.00155039,-nan
-762.985,0.930763,0,0.5,0.05,18.7406,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998501,-nan,-nan,-nan,0.498607,0.00613497,0.00152207,-nan
-764.257,0.0107627,0,0.5,0.05,14.1462,1,2.06115e-09,-nan,-nan,-nan,-nan,0.992816,-nan,-nan,-nan,0.513668,0,0.00149701,-nan
